"","name","syllable.duration","syllable.start","syllable.end","mean.amplitude","mean.pitch","mean.FM","mean.AM.2","mean.entropy","mean.pitch.goodness","mean.mean.freq","var.pitch","var.FM","var.entropy","var.pitch.goodness","var.mean.freq","var.AM","month","day","hour","minute","second","cluster","file.name","comments"
"25","-","83.8095","5195.19",5278.9995,"45.5","1050","26","-0.0009","-4.36","208.4","3067","1334000","799","0.971639","8400","219000","0.00292","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"26","-","203.537","5276.01",5479.547,"42.9","1050","47.2","-0.0014","-2.88","205.3","3272","7240000","686","1.6333","21100","285000","0.00103","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"27","-","48.8889","6020.32",6069.2089,"30.7","551","39.2","-0.0022","-2.42","345.9","2303","1336000","495","0.454331","72000","791000","0.005","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"28","-","58.8662","6121.09",6179.9562,"33.4","537","30.3","-0.00132","-3.16","322.3","2175","821000","447","0.458917","36000","736000","0.00473","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"29","-","95.7823","6203.9",6299.6823,"42.1","612","39.9","-0.00031","-2.34","296.7","2591","677000","653","0.221486","40200","715000","0.00484","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"30","-","71.8367","6319.64",6391.4767,"39.4","668","51","-0.00048","-2.77","347.4","2788","2050000","501","1.00215","71800","957000","0.00535","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"31","-","136.689","6407.44",6544.129,"42.2","760","47","-0.00076","-1.97","297.6","3158","1018000","544","0.299466","29100","88000","0.00154","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"32","-","84.8073","6568.07",6652.8773,"46","1050","24.6","0.00026","-4.57","246.1","2968","1838000","724","0.763735","25600","250000","0.00285","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"33","-","200.544","6653.88",6854.424,"42.1","1509","45.6","-0.00165","-3","194","3269","8624000","737","1.83701","19800","271000","0.00125","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"34","-","59.8639","7456.05",7515.9139,"33.5","648","28.3","-0.00101","-2.08","409.1","1906","639000","702","0.155396","66000","881000","0.0061","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"35","-","54.8753","7588.75",7643.6253,"32.3","537","27.5","-0.00116","-2.82","439.6","2206","562000","541","0.52678","60600","603000","0.00433","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
"36","-","92.7891","7676.55",7769.3391,"40.9","630","43.2","-0.00074","-2.53","301.6","2627","984000","475","0.318403","56100","717000","0.00489","12","20","8","14","42","0","Yellow119_December_20_2013_29664384.wav","comments"
